movie_title,release_date,genre,MPAA_rating,revenue,directors,animated
He Got Game,1-May-98,Drama,R,"$38,766,948 ",Spike Lee,NO
Bringing Down the House,7-Mar-03,Comedy,PG-13,"$185,481,530 ",Adam Shankman,NO
Bon Voyage!,17-May-62,Comedy,Not Rated,"$109,581,646 ",Jean-Paul Rappeneau,NO
Doctor Strange,4-Nov-16,Adventure,PG-13,"$232,532,923 ",Scott Derrickson,NO
Flubber,26-Nov-97,Comedy,PG,"$170,406,423 ",Les Mayfield,NO
Roving Mars,27-Jan-06,Documentary,G,"$12,948,025 ",George Butler,NO
Captain Ron,18-Sep-92,Comedy,PG-13,"$45,741,576 ",Thom Eberhardt,NO
Shadow Conspiracy,31-Jan-97,Thriller/Suspense,R,"$3,957,025 ",George P. Cosmatos,NO
Good Morning Vietnam,23-Dec-87,Comedy,R,"$254,414,837 ",Barry Levinson,NO
Babes in Toyland,14-Dec-61,Musical,G,"$124,841,160 ",Clive Donner,NO
An Innocent Man,6-Oct-89,Drama,R,"$40,983,414 ",Peter Yates,NO
Summer of Sam,2-Jul-99,Drama,R,"$32,007,656 ",Spike Lee,NO
The Good Dinosaur,25-Nov-15,Adventure,PG,"$123,087,120 ",Peter Sohn,Yes
Angels in the Outfield,15-Jul-94,Comedy,PG,"$103,798,152 ",William Dear,NO
Tough Guys,3-Oct-86,Comedy,,"$48,758,184 ",Jeff Kanew,NO
Something Wicked This Way Comes,29-Apr-83,Horror,,"$15,136,765 ",Jack Clayton,NO
The Rocketeer,21-Jun-91,Action,PG,"$93,256,673 ",Joe Johnston,NO
Stakeout,5-Aug-87,Comedy,R,"$141,592,160 ",John Badham,NO
National Treasure 2: Book of Secrets,21-Dec-07,Adventure,PG,"$267,003,525 ",Jon Turteltaub,NO
Terminal Velocity,23-Sep-94,Action,PG-13,"$34,048,315 ",Deran Sarafian,NO
Apocalypto,8-Dec-06,Adventure,R,"$64,959,548 ",Mel Gibson,NO
Invincible,25-Aug-06,Drama,PG,"$74,398,864 ",Ericson Core,Yes
25th Hour,19-Dec-02,Drama,R,"$18,325,463 ",Spike Lee,NO
Mighty Joe Young,25-Dec-98,Adventure,PG,"$87,906,042 ",Ron Underwood,NO
Deceived,27-Sep-91,Thriller/Suspense,PG-13,"$57,544,453 ",Damian Harris,NO
Never Cry Wolf,7-Oct-83,Drama,,"$70,669,955 ",Carroll Ballard,NO
G-Force,24-Jul-09,Adventure,PG,"$134,246,932 ",Hoyt Yeatman,Yes
Feast of July,13-Oct-95,Drama,R,"$568,342 ",Christopher Menaul,NO
The Lookout,30-Mar-07,Drama,R,"$5,637,048 ",Scott Frank,NO
Cool Runnings,1-Oct-93,Comedy,PG,"$140,392,731 ",Jon Turteltaub,NO
Alice Through the Looking Glass,27-May-16,Adventure,PG,"$77,042,381 ",James Bobin,NO
The Devil and Max Devlin,1-Jan-81,Fantasy,,"$48,517,980 ",Steven Hilliard Stern,NO
The Chronicles of Narnia: Prince Caspian,16-May-08,Adventure,PG,"$166,277,038 ",Andrew Adamson,NO
The Insider,5-Nov-99,Drama,R,"$47,794,214 ",Michael Mann,NO
Camp Nowhere,26-Aug-94,Comedy,PG,"$21,576,332 ",Jonathan Prince,NO
The Rock,7-Jun-96,Action,R,"$255,702,705 ",Michael Bay,NO
Green Card,25-Dec-90,Romantic Comedy,PG-13,"$59,679,131 ",Peter Weir,NO
Real Steel,7-Oct-11,Action,PG-13,"$90,848,019 ",Shawn Levy,NO
A Kid in King Arthur's Court,11-Aug-95,Adventure,PG,"$25,981,285 ",Michael Gottlieb,NO
The Last Flight of Noah’s Ark,25-Jun-80,Adventure,,"$34,472,116 ",Charles Jarrott,NO
African Cats,22-Apr-11,Documentary,G,"$16,401,551 ",Alastair Fothergill,NO
Toy Story 3D Double Feature,2-Oct-09,Adventure,G,"$34,509,545 ",Unknown,Yes
Into the Woods,25-Dec-14,Musical,PG,"$130,894,237 ",Rob Marshall,NO
Finding Nemo,30-May-03,Adventure,G,"$518,148,559 ",Andrew Stanton,Yes
The Good Mother,4-Nov-88,Drama,,"$9,772,655 ",Steve Antin,NO
The Hundred-Foot Journey,8-Aug-14,Romantic Comedy,PG,"$55,961,409 ",Lasse Hallström,NO
Pearl Harbor,25-May-01,Action,PG-13,"$295,705,112 ",Michael Bay,NO
Pirates of the Caribbean: At World’…,24-May-07,Adventure,PG-13,"$379,129,960 ",Gore Verbinski,NO
Color of Night,19-Aug-94,Thriller/Suspense,R,"$40,804,816 ",Richard Rush,NO
Romy and Michele's High School Reunion,25-Apr-97,Comedy,R,"$53,693,680 ",David Mirkin,NO
Cheetah,18-Aug-89,Adventure,,"$16,653,473 ",Oz Scott,NO
Jack,9-Aug-96,Drama,PG-13,"$111,792,852 ",Christopher McQuarrie,NO
Monsters University,21-Jun-13,Adventure,G,"$278,395,641 ",Dan Scanlon,Yes
The Fifth Estate,18-Oct-13,Drama,R,"$3,374,251 ",Bill Condon,NO
Before and After,23-Feb-96,Drama,PG-13,"$16,482,589 ",Barbet Schroeder,NO
Moonlight Mile,27-Sep-02,Drama,PG-13,"$9,909,094 ",Brad Silberling,NO
A Stranger Among Us,17-Jul-92,Drama,PG-13,"$24,950,752 ",Sidney Lumet,NO
The Lizzie McGuire Movie,2-May-03,Comedy,PG,"$59,743,191 ",Jim Fall,NO
Krippendorf's Tribe,27-Feb-98,Comedy,PG-13,"$13,608,633 ",Todd Holland,NO
crazy/beautiful,29-Jun-01,Drama,PG-13,"$25,214,223 ",John Stockwell,NO
Adventures in Babysitting,3-Jul-87,Comedy,,"$72,853,569 ",John Schultz,NO
The Game Plan,22-Sep-07,Comedy,PG,"$111,010,758 ",Andy Fickman,NO
Splash,9-Mar-84,Comedy,PG,"$157,057,661 ",Ron Howard,NO
Who Framed Roger Rabbit?,22-Jun-88,Comedy,PG,"$316,250,084 ",Robert Zemeckis,Yes
The Light Between Oceans,2-Sep-16,Drama,PG-13,"$12,545,979 ",Derek Cianfrance,NO
The Guardian,29-Sep-06,Action,PG-13,"$70,801,353 ",Andrew Davis,NO
The Sword in the Stone,25-Dec-63,Adventure,,"$153,870,834 ",Wolfgang Reitherman,Yes
Mr. Holland's Opus,29-Dec-95,Drama,PG,"$157,508,868 ",Stephen Herek,NO
The Rescuers Down Under,16-Nov-90,Adventure,G,"$55,796,728 ",Mike Gabriel,Yes
The Preacher's Wife,13-Dec-96,Drama,PG,"$91,076,877 ",Penny Marshall,NO
Sarafina!,18-Sep-92,Drama,PG-13,"$14,841,352 ",Darrell James Roodt,NO
Trenchcoat,11-Mar-83,Comedy,,"$11,519,089 ",Michael Tuchner,NO
Confessions of a Teenage Drama Queen,20-Feb-04,Comedy,PG,"$39,816,568 ",Sara Sugarman,NO
Around the World in 80 Days,16-Jun-04,Adventure,PG,"$32,585,356 ",Frank Coraci,NO
Blaze,13-Dec-89,Drama,R,"$39,884,640 ",Ethan Hawke,Yes
Toy Story,22-Nov-95,Adventure,G,"$370,409,631 ",John Lasseter,Yes
Prince of Persia: Sands of Time,28-May-10,Action,PG-13,"$96,971,361 ",Mike Newell,NO
Eddie,31-May-96,Comedy,PG-13,"$59,828,966 ",Dexter Fletcher,NO
White Fang 2: Myth of the White Wolf,15-Apr-94,Adventure,PG,"$18,083,994 ",Ken Olin,NO
White Squall,2-Feb-96,Adventure,PG-13,"$19,509,726 ",Ridley Scott,NO
The Invisible,27-Apr-07,Thriller/Suspense,PG-13,"$25,202,168 ",Leigh Whannell,NO
Guilty as Sin,4-Jun-93,Thriller/Suspense,R,"$46,064,723 ",Sidney Lumet,NO
Operation Dumbo Drop,28-Jul-95,Adventure,PG,"$47,809,421 ",Simon Wincer,NO
Ghosts of the Abyss,11-Apr-03,Documentary,G,"$23,803,108 ",James Cameron,NO
Scenes from a Mall,22-Feb-91,Comedy,,"$19,149,495 ",Paul Mazursky,NO
The BFG,1-Jul-16,Adventure,PG,"$55,483,770 ",Steven Spielberg,NO
Tron,9-Jul-82,Action,,"$77,184,895 ",Joseph Kosinski,NO
Firelight,4-Sep-98,Drama,R,"$1,409,943 ",William Nicholson,NO
Delivery Man,22-Nov-13,Comedy,PG-13,"$31,787,136 ",Ken Scott,NO
New York Stories,1-Mar-89,Drama,PG,"$22,740,861 ",Francis Ford Coppola,NO
Disorganized Crime,14-Apr-89,Comedy,,"$15,233,465 ",Jim Kouf,NO
Tom and Huck,22-Dec-95,Adventure,PG,"$45,911,517 ",Peter Hewitt,NO
Keeping the Faith,14-Apr-00,Romantic Comedy,PG-13,"$57,925,202 ",Edward Norton,NO
Grosse Pointe Blank,11-Apr-97,Black Comedy,R,"$51,579,764 ",George Armitage,NO
Indian Summer,23-Apr-93,Comedy,R,"$29,968,953 ",Mike Binder,NO
The Princess and the Frog,25-Nov-09,Adventure,G,"$116,316,457 ",Ron Clements,Yes
Billy Bathgate,1-Nov-91,Drama,R,"$31,167,691 ",Robert Benton,NO
3 Ninjas Kick Back,6-May-94,Action,PG,"$24,267,154 ",Charles T. Kanganis,NO
My Boyfriend's Back,6-Aug-93,Comedy,PG-13,"$6,554,384 ",Bob Balaban,NO
Goal! The Dream Begins,12-May-06,Drama,PG,"$5,512,647 ",Danny Cannon,NO
Country,29-Sep-84,Drama,,"$21,075,000 ",Francis Lee,NO
Big Trouble,5-Apr-02,Comedy,PG-13,"$10,537,188 ",Barry Sonnenfeld,NO
People Like Us,29-Jun-12,Drama,PG-13,"$13,165,822 ",Alex Kurtzman,NO
Mars Needs Moms,11-Mar-11,Adventure,PG,"$22,741,603 ",Simon Wells,Yes
Angie,4-Mar-94,Comedy,R,"$19,116,981 ",Martha Coolidge,NO
Deuce Bigalow: Male Gigolo,10-Dec-99,Comedy,R,"$106,921,374 ",Mike Mitchell,NO
Veronica Guerin,17-Oct-03,Drama,R,"$2,194,759 ",Joel Schumacher,NO
Max Keeble's Big Move,5-Oct-01,Comedy,PG,"$25,749,730 ",Tim Hill,NO
The Scarlet Letter,13-Oct-95,Drama,R,"$20,075,033 ",Roland Joffé,NO
D3: The Mighty Ducks,4-Oct-96,Comedy,PG,"$43,713,554 ",Rob Lieberman,NO
Up,29-May-09,Adventure,PG,"$329,336,681 ",Darrell Van Citters,NO
Alive,15-Jan-93,Adventure,R,"$73,914,543 ",Santiago Menghini,NO
Can't Buy Me Love,14-Aug-87,Romantic Comedy,,"$68,181,300 ",Steve Rash,NO
The Hoax,6-Apr-07,Drama,R,"$8,779,196 ",Lasse Hallström,NO
Fantasia,13-Nov-40,Musical,G,"$2,187,090,808.00 ",David Hand,Yes
Crimson Tide,12-May-95,Action,R,"$177,102,077 ",Tony Scott,NO
Ransom,8-Nov-96,Action,R,"$259,807,820 ",Ron Howard,NO
Pretty Woman,23-Mar-90,Romantic Comedy,R,"$356,389,765 ",Garry Marshall,NO
Inspector Gadget,23-Jul-99,Comedy,PG,"$161,610,341 ",David Kellogg,NO
Winnie the Pooh,15-Jul-11,Adventure,G,"$28,375,869 ",Stephen J. Anderson,Yes
The Tigger Movie,11-Feb-00,Adventure,G,"$71,228,678 ",Jun Falkenstein,Yes
Heavy Weights,17-Feb-95,Comedy,PG,"$34,245,779 ",Steven Brill,NO
What About Bob?,17-May-91,Comedy,PG,"$127,571,325 ",Frank Oz,NO
Condorman,7-Aug-81,Action,,$0 ,Charles Jarrott,NO
The Haunted Mansion,26-Nov-03,Comedy,PG,"$105,775,678 ",Rob Minkoff,NO
The Hitchhiker's Guide to the Galaxy,29-Apr-05,Comedy,PG,"$67,096,891 ",Garth Jennings,NO
Bedknobs and Broomsticks,7-Oct-71,Musical,,"$91,305,448 ",Robert Stevenson,Yes
Pooh's Heffalump Movie,11-Feb-05,Adventure,G,"$23,801,835 ",Frank Nissen,Yes
Open Range,15-Aug-03,Western,R,"$81,547,672 ",Kevin Costner,NO
D.O.A.,18-Mar-88,Thriller/Suspense,,"$26,062,188 ",Annabel Jankel,NO
Meet the Deedles,27-Mar-98,Comedy,PG,"$7,829,877 ",Steve Boyum,NO
A Beautiful Planet,29-Apr-16,Documentary,G,"$7,895,708 ",Toni Myers,NO
Sister Act,29-May-92,Comedy,PG,"$283,583,472 ",Emile Ardolino,NO
Strange Magic,23-Jan-15,Adventure,PG,"$12,429,583 ",Gary Rydstrom,Yes
The Many Adventures of Winnie the Pooh,11-Mar-77,Animation,,$0 ,Wolfgang Reitherman,Yes
Quiz Show,14-Sep-94,Drama,PG-13,"$50,840,394 ",Robert Redford,NO
While You Were Sleeping,21-Apr-95,Romantic Comedy,PG,"$157,082,900 ",Jon Turteltaub,NO
Bedtime Stories,25-Dec-08,Comedy,PG,"$128,039,679 ",Adam Shankman,NO
"The Chronicles of Narnia: The Lion, t…",9-Dec-05,Adventure,PG,"$381,557,539 ",Andrew Adamson,NO
Instinct,4-Jun-99,Drama,R,"$56,595,842 ",Paul Verhoeven,NO
Step Up,11-Aug-06,Drama,PG-13,"$84,078,780 ",Anne Fletcher,NO
G.I. Jane,22-Aug-97,Drama,R,"$88,467,531 ",Ridley Scott,NO
Oscar,26-Apr-91,Comedy,PG,"$47,181,395 ",Éric-Emmanuel Schmitt,NO
The Parent Trap,29-Jul-98,Comedy,PG,"$119,185,667 ",Nancy Meyers,NO
Primeval,12-Jan-07,Adventure,R,"$12,985,302 ",Michael Katleman,NO
The Lone Ranger,2-Jul-13,Western,PG-13,"$92,597,388 ",Gore Verbinski,NO
"Monsters, Inc.",2-Nov-01,Adventure,G,"$416,073,179 ",Pete Docter,Yes
Reign of Fire,19-Feb-02,Action,PG-13,"$62,480,631 ",Rob Bowman,NO
Running Brave,4-Nov-83,Drama,,"$3,223,725 ",Donald Shebib,NO
Dinosaur,19-May-00,Adventure,PG,"$215,438,985 ",Ralph Zondag,Yes
Rushmore,11-Dec-98,Black Comedy,R,"$28,392,518 ",Wes Anderson,NO
Freaky Friday,21-Jan-77,Comedy,,"$98,067,733 ",Mark Waters,NO
The 13th Warrior,27-Aug-99,Action,R,"$54,262,148 ",John McTiernan,NO
Brave,22-Jun-12,Adventure,PG,"$251,292,441 ",Brenda Chapman,Yes
Eight Below,17-Feb-06,Adventure,PG,"$105,037,235 ",Frank Marshall,NO
Gake no ue no Ponyo,14-Aug-09,Adventure,G,"$16,961,607 ",Hayao Miyazaki,Yes
Queen of Katwe,23-Sep-16,Drama,PG,"$8,874,389 ",Mira Nair,NO
Straight Talk,3-Apr-92,Comedy,PG,"$43,068,356 ",Barnet Kellman,NO
Holy Man,9-Oct-98,Comedy,PG,"$21,694,605 ",Stephen Herek,NO
The Sorcerer's Apprentice,14-Jul-10,Adventure,PG,"$67,473,105 ",Jon Turteltaub,NO
Stella,2-Feb-90,Drama,PG-13,"$40,077,147 ",Thomas Sieben,NO
An American Werewolf in Paris,25-Dec-97,Horror,R,"$48,546,161 ",Anthony Waller,NO
The Mighty Ducks,2-Oct-92,Comedy,PG,"$103,120,810 ",Rob Lieberman,NO
Tall Tale,24-Mar-95,Western,PG,"$15,983,331 ",Jeremiah S. Chechik,NO
Tangled,24-Nov-10,Adventure,PG,"$214,388,548 ",Byron Howard,Yes
Ed Wood,30-Sep-94,Comedy,R,"$12,042,634 ",Tim Burton,NO
The Jerky Boys,3-Feb-95,Comedy,R,"$14,641,561 ",James Melkonian,NO
The Rich Man's Wife,13-Sep-96,Thriller/Suspense,R,"$16,284,619 ",Amy Holden Jones,NO
"20,000 Leagues Under the Sea",23-Dec-54,Adventure,,"$528,279,994 ",Richard Fleischer,NO
Super Mario Bros.,28-May-93,Action,PG,"$42,445,058 ",Annabel Jankel,NO
The Proposal,19-Jun-09,Romantic Comedy,PG-13,"$184,288,829 ",Anne Fletcher,NO
Race to Witch Mountain,13-Mar-09,Adventure,PG,"$75,501,997 ",Andy Fickman,NO
The Adventures of Huck Finn,2-Apr-93,Adventure,PG,"$49,080,505 ",Stephen Sommers,NO
Jefferson in Paris,31-Mar-95,Drama,PG-13,"$4,770,461 ",James Ivory,NO
The Jungle Book,15-Apr-16,Adventure,PG,"$364,001,123 ",Wolfgang Reitherman,NO
Sky High,29-Jul-05,Adventure,PG,"$84,088,854 ",Mike Mitchell,NO
Toy Story 2,19-Nov-99,Adventure,G,"$404,450,426 ",John Lasseter,Yes
The Rescuers,22-Jun-77,Adventure,,"$159,743,914 ",Wolfgang Reitherman,Yes
Remember the Titans,29-Sep-00,Drama,PG,"$180,742,479 ",Boaz Yakin,NO
A Lot Like Love,22-Apr-05,Comedy,PG-13,"$28,716,947 ",Nigel Cole,NO
3 Ninjas,7-Aug-92,Action,PG,"$58,965,304 ",Jon Turteltaub,NO
Flight of the Navigator,30-Jul-86,Adventure,,"$42,183,197 ",Randal Kleiser,NO
America's Heart and Soul,2-Jul-04,Documentary,Not Rated,"$426,246 ",Louis Schwartsberg,NO
Swing Vote,1-Aug-08,Comedy,PG-13,"$19,125,841 ",Joshua Michael Stern,NO
The Straight Story,15-Oct-99,Drama,G,"$10,111,144 ",David Lynch,NO
The Kid,7-Jul-00,Comedy,PG,"$108,993,148 ",Jon Turteltaub,NO
Enchanted,21-Nov-07,Romantic Comedy,PG,"$156,074,310 ",Kevin Lima,Yes
Zootopia,4-Mar-16,Adventure,PG,"$341,268,248 ",Byron Howard,Yes
I'll Be Home For Christmas,13-Nov-98,Comedy,PG,"$21,941,840 ",James Brolin,NO
The War at Home,20-Nov-96,Drama,R,"$65,543 ",Emilio Estevez,NO
Peter Pan: Return to Neverland,15-Feb-02,Adventure,G,"$70,269,715 ",Robin Budd,Yes
Ratatouille,29-Jun-07,Comedy,G,"$252,955,933 ",Brad Bird,Yes
Secretariat,8-Oct-10,Drama,PG,"$63,781,920 ",Randall Wallace,NO
Medicine Man,7-Feb-92,Drama,PG-13,"$91,304,495 ",John McTiernan,NO
A Thousand Acres,19-Sep-97,Drama,R,"$14,561,324 ",Jocelyn Moorhouse,NO
Mission to Mars,10-Mar-00,Adventure,PG,"$95,208,344 ",Brian De Palma,NO
Brother Bear,24-Oct-03,Adventure,G,"$119,218,333 ",Aaron Blaise,Yes
Snow White and the Seven Dwarfs,21-Dec-37,Musical,G,"$5,228,953,251.00 ",David Hand,Yes
Toy Story 3,18-Jun-10,Adventure,G,"$443,408,255 ",Lee Unkrich,Yes
Miracle,6-Feb-04,Drama,PG,"$87,392,478 ",T.C. Christensen,NO
My Favorite Martian,12-Feb-99,Comedy,PG,"$61,150,849 ",Donald Petrie,NO
Benji the Hunted,5-Jun-87,Adventure,,"$32,798,382 ",Joe Camp,NO
A Far Off Place,12-Mar-93,Adventure,PG,"$26,248,558 ",Mikael Salomon,NO
Old Dogs,25-Nov-09,Comedy,PG,"$55,503,929 ",Walt Becker,NO
Alice in Wonderland,5-Mar-10,Adventure,PG,"$357,063,499 ",Hamilton Luske,NO
The Little Mermaid,15-Nov-89,Adventure,G,"$223,726,012 ",Ron Clements,NO
Stick It,28-Apr-06,Comedy,PG-13,"$34,634,731 ",Jessica Bendinger,NO
Funny Bones,31-Mar-95,Comedy,R,"$1,025,425 ",Peter Chelsom,NO
Cars,9-Jun-06,Comedy,G,"$314,140,384 ",John Lasseter,Yes
Bicentennial Man,17-Dec-99,Drama,PG,"$94,838,225 ",Chris Columbus,NO
Chimpanzee,20-Apr-12,Documentary,G,"$30,675,725 ",Alastair Fothergill,NO
The Apple Dumpling Gang,1-Jul-75,Comedy,,"$131,246,872 ",Norman Tokar,NO
The Other Sister,26-Feb-99,Romantic Comedy,PG-13,"$46,145,331 ",Garry Marshall,NO
A Simple Twist of Fate,2-Sep-94,Drama,PG-13,"$7,035,189 ",Gillies MacKinnon,NO
Where the Heart Is,23-Feb-90,Comedy,,"$2,210,321 ",Matt Williams,NO
Kaze Tachinu,8-Nov-13,Drama,PG-13,"$5,367,415 ",Mitsuo Wakasugi,Yes
Off Beat,11-Apr-86,Comedy,,"$11,003,932 ",Michael Dinner,NO
The Greatest Game Ever Played,30-Sep-05,Drama,PG,"$20,162,672 ",Bill Paxton,NO
The Three Musketeers,12-Nov-93,Adventure,PG,"$109,310,377 ",William Lau,NO
A Civil Action,25-Dec-98,Drama,PG-13,"$94,139,530 ",Steven Zaillian,NO
Walt and El Grupo,10-Sep-09,Documentary,PG,"$23,064 ",Theodore Thomas,NO
Powder,27-Oct-95,Drama,PG-13,"$59,727,216 ",Victor Salva,NO
1492: Conquest of Paradise,9-Oct-92,Adventure,PG-13,"$14,421,454 ",Ridley Scott,NO
The Cemetery Club,3-Feb-93,Comedy,PG-13,"$11,369,541 ",Bill Duke,NO
Stay Alive,24-Mar-06,Horror,PG-13,"$29,712,825 ",William Brent Bell,NO
That Darn Cat,14-Feb-97,Comedy,PG,"$33,613,158 ",Robert Stevenson,NO
The Muppet Christmas Carol,11-Dec-92,Comedy,G,"$55,417,615 ",Brian Henson,NO
Step Up 2 the Streets,14-Feb-08,Drama,PG-13,"$68,118,371 ",Jon M. Chu,NO
Fantasia 2000 (Theatrical Release),16-Jun-00,Musical,G,"$14,238,144 ",Unknown,Yes
The Santa Clause 2,1-Nov-02,Comedy,G,"$201,959,095 ",Michael Lembeck,NO
The Recruit,31-Jan-03,Thriller/Suspense,PG-13,"$73,793,522 ",Roger Donaldson,NO
Money for Nothing,10-Sep-93,Comedy,R,"$2,127,496 ",Ramón Menéndez,NO
Bad Company,20-Jan-95,Thriller/Suspense,R,"$6,829,092 ",Joel Schumacher,NO
I Love Trouble,29-Jun-94,Romantic Comedy,PG,"$63,651,027 ",Charles Shyer,NO
The Absent Minded Professor,16-Mar-61,Comedy,,"$310,094,574 ",Robert Stevenson,NO
Jungle 2 Jungle,7-Mar-97,Comedy,PG,"$110,058,379 ",John Pasquin,NO
Tex,19-Nov-82,Drama,,"$20,643,199 ",Tim Hunter,NO
Life With Mikey,4-Jun-93,Comedy,PG,"$25,146,538 ",James Lapine,NO
Gone Fishin',30-May-97,Comedy,PG,"$36,265,379 ",Christopher Cain,NO
Rogue One: A Star Wars Story,16-Dec-16,Adventure,PG-13,"$529,483,936 ",Gareth Edwards,NO
The Marrying Man,5-Apr-91,Romantic Comedy,R,"$24,939,118 ",Jerry Rees,NO
Bubble Boy,24-Aug-01,Comedy,PG-13,"$7,450,434 ",Blair Hayes,NO
Baby: Secret of the Lost Legend,22-Mar-85,Adventure,,"$33,900,697 ",Bill L. Norton,NO
The Fox and the Hound,10-Jul-81,Comedy,,"$133,118,889 ",Ted Berman,Yes
High Heels and Low Lifes,26-Oct-01,Action,R,"$337,782 ",Mel Smith,NO
The Tie That Binds,8-Sep-95,Thriller/Suspense,R,"$11,167,895 ",Wesley Strick,NO
John Carter,9-Mar-12,Adventure,PG-13,"$77,372,445 ",Andrew Stanton,NO
Blank Check,11-Feb-94,Comedy,PG,"$63,170,804 ",Rupert Wainwright,NO
Guardians of the Galaxy,1-Aug-14,Adventure,PG-13,"$343,771,168 ",James Gunn,NO
Star Wars Ep. VII: The Force Awakens,18-Dec-15,Adventure,PG-13,"$936,662,225 ",Unknown,NO
A Goofy Movie,7-Apr-95,Comedy,G,"$68,479,579 ",Kevin Lima,Yes
Hocus Pocus,16-Jul-93,Comedy,PG,"$80,147,079 ",Kenny Ortega,NO
Pete’s Dragon,12-Aug-16,Adventure,PG,"$76,233,151 ",David Lowery,NO
Night Crossing,5-Feb-82,Drama,,"$12,903,059 ",Delbert Mann,NO
