movie_title,release_date,genre,MPAA_rating,director,animated,MovieSuccessLevel
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Yes,B
Billy Bathgate,1-Nov-91,Drama,R,Robert Benton,NO,C
3 Ninjas Kick Back,6-May-94,Action,PG,Charles T. Kanganis,NO,C
My Boyfriend's Back,6-Aug-93,Comedy,PG-13,Bob Balaban,NO,D
Goal! The Dream Begins,12-May-06,Drama,PG,Danny Cannon,NO,D
Country,29-Sep-84,Drama,PG-13,Francis Lee,NO,C
Big Trouble,5-Apr-02,Comedy,PG-13,Barry Sonnenfeld,NO,D
People Like Us,29-Jun-12,Drama,PG-13,Alex Kurtzman,NO,D
Mars Needs Moms,11-Mar-11,Adventure,PG,Simon Wells,Yes,C
Angie,4-Mar-94,Comedy,R,Martha Coolidge,NO,D
Deuce Bigalow: Male Gigolo,10-Dec-99,Comedy,R,Mike Mitchell,NO,B
Veronica Guerin,17-Oct-03,Drama,R,Joel Schumacher,NO,D
Max Keeble's Big Move,5-Oct-01,Comedy,PG,Tim Hill,NO,C
The Scarlet Letter,13-Oct-95,Drama,R,Roland Joffé,NO,C
D3: The Mighty Ducks,4-Oct-96,Comedy,PG,Rob Lieberman,NO,C
Up,29-May-09,Adventure,PG,Darrell Van Citters,NO,A
Alive,15-Jan-93,Adventure,R,Santiago Menghini,NO,B
Can't Buy Me Love,14-Aug-87,Romantic Comedy,PG-13,Steve Rash,NO,C
The Hoax,6-Apr-07,Drama,R,Lasse Hallström,NO,D
Fantasia,13-Nov-40,Musical,G,David Hand,Yes,S
Crimson Tide,12-May-95,Action,R,Tony Scott,NO,B
Ransom,8-Nov-96,Action,R,Ron Howard,NO,A
Pretty Woman,23-Mar-90,Romantic Comedy,R,Garry Marshall,NO,A
Inspector Gadget,23-Jul-99,Comedy,PG,David Kellogg,NO,B
Winnie the Pooh,15-Jul-11,Adventure,G,Stephen J. Anderson,Yes,C
The Tigger Movie,11-Feb-00,Adventure,G,Jun Falkenstein,Yes,B
Heavy Weights,17-Feb-95,Comedy,PG,Steven Brill,NO,C
What About Bob?,17-May-91,Comedy,PG,Frank Oz,NO,B
Condorman,7-Aug-81,Action,G,Charles Jarrott,NO,D
The Haunted Mansion,26-Nov-03,Comedy,PG,Rob Minkoff,NO,B
The Hitchhiker's Guide to the Galaxy,29-Apr-05,Comedy,PG,Garth Jennings,NO,C
Bedknobs and Broomsticks,7-Oct-71,Musical,G,Robert Stevenson,Yes,B
Pooh's Heffalump Movie,11-Feb-05,Adventure,G,Frank Nissen,Yes,C
Open Range,15-Aug-03,Western,R,Kevin Costner,NO,B
D.O.A.,18-Mar-88,Thriller/Suspense,PG-13,Annabel Jankel,NO,C
Meet the Deedles,27-Mar-98,Comedy,PG,Steve Boyum,NO,D
A Beautiful Planet,29-Apr-16,Documentary,G,Toni Myers,NO,D
Sister Act,29-May-92,Comedy,PG,Emile Ardolino,NO,A
Strange Magic,23-Jan-15,Adventure,PG,Gary Rydstrom,Yes,D
The Many Adventures of Winnie the Pooh,11-Mar-77,Animation,G,Wolfgang Reitherman,Yes,D
Quiz Show,14-Sep-94,Drama,PG-13,Robert Redford,NO,C
While You Were Sleeping,21-Apr-95,Romantic Comedy,PG,Jon Turteltaub,NO,B
Bedtime Stories,25-Dec-08,Comedy,PG,Adam Shankman,NO,B
"The Chronicles of Narnia: The Lion, t…",9-Dec-05,Adventure,PG,Andrew Adamson,NO,A
Instinct,4-Jun-99,Drama,R,Paul Verhoeven,NO,C
Step Up,11-Aug-06,Drama,PG-13,Anne Fletcher,NO,B
G.I. Jane,22-Aug-97,Drama,R,Ridley Scott,NO,B
Oscar,26-Apr-91,Comedy,PG,Éric-Emmanuel Schmitt,NO,C
The Parent Trap,29-Jul-98,Comedy,PG,Nancy Meyers,NO,B
Primeval,12-Jan-07,Adventure,R,Michael Katleman,NO,D
The Lone Ranger,2-Jul-13,Western,PG-13,Gore Verbinski,NO,B
"Monsters, Inc.",2-Nov-01,Adventure,G,Pete Docter,Yes,A
Reign of Fire,19-Feb-02,Action,PG-13,Rob Bowman,NO,C
Running Brave,4-Nov-83,Drama,PG,Donald Shebib,NO,D
Dinosaur,19-May-00,Adventure,PG,Ralph Zondag,Yes,A
Rushmore,11-Dec-98,Black Comedy,R,Wes Anderson,NO,C
Freaky Friday,21-Jan-77,Comedy,PG,Mark Waters,NO,B
The 13th Warrior,27-Aug-99,Action,R,John McTiernan,NO,C
Brave,22-Jun-12,Adventure,PG,Brenda Chapman,Yes,A
Eight Below,17-Feb-06,Adventure,PG,Frank Marshall,NO,B
Gake no ue no Ponyo,14-Aug-09,Adventure,G,Hayao Miyazaki,Yes,D
Queen of Katwe,23-Sep-16,Drama,PG,Mira Nair,NO,D
Straight Talk,3-Apr-92,Comedy,PG,Barnet Kellman,NO,C
Holy Man,9-Oct-98,Comedy,PG,Stephen Herek,NO,C
The Sorcerer's Apprentice,14-Jul-10,Adventure,PG,Jon Turteltaub,NO,C
Stella,2-Feb-90,Drama,PG-13,Thomas Sieben,NO,C
An American Werewolf in Paris,25-Dec-97,Horror,R,Anthony Waller,NO,C
The Mighty Ducks,2-Oct-92,Comedy,PG,Stephen Herek,NO,B
Tall Tale,24-Mar-95,Western,PG,Jeremiah S. Chechik,NO,D
Tangled,24-Nov-10,Adventure,PG,Nathan Greno,Yes,A
Ed Wood,30-Sep-94,Comedy,R,Tim Burton,NO,D
The Jerky Boys,3-Feb-95,Comedy,R,James Melkonian,NO,D
The Rich Man's Wife,13-Sep-96,Thriller/Suspense,R,Amy Holden Jones,NO,D
"20,000 Leagues Under the Sea",23-Dec-54,Adventure,G,Richard Fleischer,NO,S
Super Mario Bros.,28-May-93,Action,PG,Annabel Jankel,NO,C
The Proposal,19-Jun-09,Romantic Comedy,PG-13,Anne Fletcher,NO,B
Race to Witch Mountain,13-Mar-09,Adventure,PG,Andy Fickman,NO,B
The Adventures of Huck Finn,2-Apr-93,Adventure,PG,Stephen Sommers,NO,C
Jefferson in Paris,31-Mar-95,Drama,PG-13,James Ivory,NO,D
The Jungle Book,15-Apr-16,Adventure,PG,Wolfgang Reitherman,NO,A
Sky High,29-Jul-05,Adventure,PG,Mike Mitchell,NO,B
Toy Story 2,19-Nov-99,Adventure,G,John Lasseter,Yes,A
The Rescuers,22-Jun-77,Adventure,G,Wolfgang Reitherman,Yes,B
Remember the Titans,29-Sep-00,Drama,PG,Boaz Yakin,NO,B
A Lot Like Love,22-Apr-05,Comedy,PG-13,Nigel Cole,NO,C
3 Ninjas,7-Aug-92,Action,PG,Jon Turteltaub,NO,C
Flight of the Navigator,30-Jul-86,Adventure,PG,Randal Kleiser,NO,C
America's Heart and Soul,2-Jul-04,Documentary,Not Rated,Louis Schwartsberg,NO,D
Swing Vote,1-Aug-08,Comedy,PG-13,Joshua Michael Stern,NO,D
The Straight Story,15-Oct-99,Drama,G,David Lynch,NO,D
The Kid,7-Jul-00,Comedy,PG,Jon Turteltaub,NO,B
Enchanted,21-Nov-07,Romantic Comedy,PG,Kevin Lima,Yes,B
Zootopia,4-Mar-16,Adventure,PG,Byron Howard,Yes,A
I'll Be Home For Christmas,13-Nov-98,Comedy,PG,James Brolin,NO,C
The War at Home,20-Nov-96,Drama,R,Emilio Estevez,NO,D
Peter Pan: Return to Neverland,15-Feb-02,Adventure,G,Robin Budd,Yes,B
Ratatouille,29-Jun-07,Comedy,G,Brad Bird,Yes,A
Secretariat,8-Oct-10,Drama,PG,Randall Wallace,NO,C
Medicine Man,7-Feb-92,Drama,PG-13,John McTiernan,NO,B
A Thousand Acres,19-Sep-97,Drama,R,Jocelyn Moorhouse,NO,D
Mission to Mars,10-Mar-00,Adventure,PG,Brian De Palma,NO,B
Brother Bear,24-Oct-03,Adventure,G,Robert Walker,Yes,B
Snow White and the Seven Dwarfs,21-Dec-37,Musical,G,David Hand,Yes,S
Toy Story 3,18-Jun-10,Adventure,G,Lee Unkrich,Yes,A
Miracle,6-Feb-04,Drama,PG,T.C. Christensen,NO,B
My Favorite Martian,12-Feb-99,Comedy,PG,Donald Petrie,NO,C
Benji the Hunted,5-Jun-87,Adventure,G,Joe Camp,NO,C
A Far Off Place,12-Mar-93,Adventure,PG,Mikael Salomon,NO,C
Old Dogs,25-Nov-09,Comedy,PG,Walt Becker,NO,C
Alice in Wonderland,5-Mar-10,Adventure,PG,Clyde Geronimi,NO,A
The Little Mermaid,15-Nov-89,Adventure,G,Ron Clements,NO,A
Stick It,28-Apr-06,Comedy,PG-13,Jessica Bendinger,NO,C
Funny Bones,31-Mar-95,Comedy,R,Peter Chelsom,NO,D
Cars,9-Jun-06,Comedy,G,John Lasseter,Yes,A
Bicentennial Man,17-Dec-99,Drama,PG,Chris Columbus,NO,B
Chimpanzee,20-Apr-12,Documentary,G,Alastair Fothergill,NO,C
The Apple Dumpling Gang,1-Jul-75,Comedy,G,Norman Tokar,NO,B
The Other Sister,26-Feb-99,Romantic Comedy,PG-13,Garry Marshall,NO,C
A Simple Twist of Fate,2-Sep-94,Drama,PG-13,Gillies MacKinnon,NO,D
Where the Heart Is,23-Feb-90,Comedy,PG-13,Matt Williams,NO,D
Kaze Tachinu,8-Nov-13,Drama,PG-13,Mitsuo Wakasugi,Yes,D
Off Beat,11-Apr-86,Comedy,PG,Michael Dinner,NO,D
The Greatest Game Ever Played,30-Sep-05,Drama,PG,Bill Paxton,NO,C
The Three Musketeers,12-Nov-93,Adventure,PG,William Lau,NO,B
A Civil Action,25-Dec-98,Drama,PG-13,Steven Zaillian,NO,B
Walt and El Grupo,10-Sep-09,Documentary,PG,Theodore Thomas,NO,D
Powder,27-Oct-95,Drama,PG-13,Victor Salva,NO,C
1492: Conquest of Paradise,9-Oct-92,Adventure,PG-13,Ridley Scott,NO,D
The Cemetery Club,3-Feb-93,Comedy,PG-13,Bill Duke,NO,D
Stay Alive,24-Mar-06,Horror,PG-13,William Brent Bell,NO,C
That Darn Cat,14-Feb-97,Comedy,PG,Bob Spiers,NO,C
The Muppet Christmas Carol,11-Dec-92,Comedy,G,Brian Henson,NO,C
Step Up 2 the Streets,14-Feb-08,Drama,PG-13,Jon M. Chu,NO,C
Fantasia 2000 (Theatrical Release),16-Jun-00,Musical,G,Unknown,Yes,D
The Santa Clause 2,1-Nov-02,Comedy,G,Michael Lembeck,NO,A
The Recruit,31-Jan-03,Thriller/Suspense,PG-13,Roger Donaldson,NO,B
Money for Nothing,10-Sep-93,Comedy,R,Ramón Menéndez,NO,D
Bad Company,20-Jan-95,Thriller/Suspense,R,Joel Schumacher,NO,D
I Love Trouble,29-Jun-94,Romantic Comedy,PG,Charles Shyer,NO,C
The Absent Minded Professor,16-Mar-61,Comedy,G,Robert Stevenson,NO,A
Jungle 2 Jungle,7-Mar-97,Comedy,PG,John Pasquin,NO,B
Tex,19-Nov-82,Drama,R,Tim Hunter,NO,C
Life With Mikey,4-Jun-93,Comedy,PG,James Lapine,NO,C
Gone Fishin',30-May-97,Comedy,PG,Christopher Cain,NO,C
Rogue One: A Star Wars Story,16-Dec-16,Adventure,PG-13,Gareth Edwards,NO,S
The Marrying Man,5-Apr-91,Romantic Comedy,R,Jerry Rees,NO,C
Bubble Boy,24-Aug-01,Comedy,PG-13,Blair Hayes,NO,D
Baby: Secret of the Lost Legend,22-Mar-85,Adventure,PG,Bill L. Norton,NO,C
The Fox and the Hound,10-Jul-81,Comedy,G,Art Stevens,Yes,B
High Heels and Low Lifes,26-Oct-01,Action,R,Mel Smith,NO,D
The Tie That Binds,8-Sep-95,Thriller/Suspense,R,Wesley Strick,NO,D
John Carter,9-Mar-12,Adventure,PG-13,Andrew Stanton,NO,B
Blank Check,11-Feb-94,Comedy,PG,Rupert Wainwright,NO,C
Guardians of the Galaxy,1-Aug-14,Adventure,PG-13,James Gunn,NO,A
Star Wars Ep. VII: The Force Awakens,18-Dec-15,Adventure,PG-13,Unknown,NO,S
A Goofy Movie,7-Apr-95,Comedy,G,Kevin Lima,Yes,C
Hocus Pocus,16-Jul-93,Comedy,PG,Kenny Ortega,NO,B
Pete’s Dragon,12-Aug-16,Adventure,PG,David Lowery,NO,B
Night Crossing,5-Feb-82,Drama,PG,Delbert Mann,NO,D
Lilo & Stitch,21-Jun-02,Adventure,PG,Chris Sanders,Yes,A
Metro,17-Jan-97,Action,R,Thomas Carter,NO,C
National Treasure,19-Nov-04,Adventure,PG,Jon Turteltaub,NO,A
Shanghai Noon,26-May-00,Western,PG-13,Tom Dey,NO,B
Dangerous Minds,11-Aug-95,Drama,R,John N. Smith,NO,B
The Distinguished Gentleman,4-Dec-92,Comedy,R,Jonathan Lynn,NO,B
The Secret World of Arietty,17-Feb-12,Adventure,G,Unknown,Yes,C
The Princess Diaries,3-Aug-01,Comedy,G,Garry Marshall,NO,B
Step Up 3D,6-Aug-10,Drama,PG-13,Jon M. Chu,NO,C
Underdog,3-Aug-07,Adventure,PG,Jon Erwin,NO,C
Red Rock West,28-Jan-94,Crime,R,John Dahl,NO,D
Captain America: Civil War,6-May-16,Action,PG-13,Anthony Russo,NO,A
Mr. Wrong,16-Feb-96,Romantic Comedy,PG-13,Nick Castle,NO,C
Nixon,20-Dec-95,Drama,R,Oliver Stone,NO,C
The Ref,9-Mar-94,Comedy,R,Ted Demme,NO,C
The Santa Clause 3: The Escape Clause,3-Nov-06,Comedy,G,Michael Lembeck,NO,B
Ice Princess,18-Mar-05,Comedy,G,Tim Fywell,NO,C
King Arthur,7-Jul-04,Adventure,PG-13,Antoine Fuqua,NO,B
Nothing To Lose,18-Jul-97,Comedy,R,Steve Oedekerk,NO,B
Herbie: Fully Loaded,22-Jun-05,Comedy,G,Angela Robinson,NO,B
Father of the Bride,20-Dec-91,Comedy,PG,Charles Shyer,NO,B
You Again,24-Sep-10,Comedy,PG,Andy Fickman,NO,C
Treasure Planet,27-Nov-02,Adventure,PG,Ron Clements,Yes,C
The Great Mouse Detective,2-Jul-86,Adventure,G,Ron Clements,Yes,C
Cinderella,13-Mar-15,Drama,PG,Wilfred Jackson,NO,A
Frozen,22-Nov-13,Adventure,PG,Chris Buck,Yes,A
Pirates of the Caribbean: On Stranger…,20-May-11,Adventure,PG-13,Rob Marshall,NO,A
Zokkomon,22-Apr-11,Adventure,PG,Satyajit Bhatkal,NO,D
Gross Anatomy,20-Oct-89,Drama,PG-13,Thom Eberhardt,NO,C
The Incredibles,5-Nov-04,Adventure,PG,Brad Bird,Yes,A
Frank McKlusky C.I.,1-Jan-02,Action,PG-13,Arlene Sanford,NO,D
Taking Care of Business,17-Aug-90,Comedy,R,Arthur Hiller,NO,C
Tim Burton's The Nightmare Before Chr…,20-Oct-06,Musical,PG,Henry Selick,NO,C
Cocktail,29-Jul-88,Drama,R,Roger Donaldson,NO,B
Gun Shy,4-Feb-00,Comedy,R,Simon West,NO,D
Mr. Destiny,12-Oct-90,Comedy,PG-13,James Orr,NO,C
Herbie Goes to Monte Carlo,24-Jun-77,Romance,G,Vincent McEveety,NO,B
Evita,25-Dec-96,Musical,PG,Alan Parker,NO,B
Dark Water,8-Jul-05,Thriller/Suspense,PG-13,Walter Salles,NO,C
Piglet's Big Movie,21-Mar-03,Comedy,G,Francis Glebas,Yes,C
Kazaam,17-Jul-96,Comedy,PG,Paul Michael Glaser,NO,C
Déjà Vu,22-Nov-06,Thriller/Suspense,PG-13,Tony Scott,NO,B
Waking Sleeping Beauty,26-Mar-10,Documentary,PG,Don Hahn,NO,D
The Count of Monte Cristo,25-Jan-02,Drama,PG-13,Kevin Reynolds,NO,B
The Program,24-Sep-93,Action,R,Stephen Frears,NO,C
When in Rome,29-Jan-10,Romantic Comedy,PG-13,Mark Steven Johnson,NO,C
Born Yesterday,26-Mar-93,Romantic Comedy,PG,George Cukor,NO,C
The Alamo,9-Apr-04,Western,PG-13,John Lee Hancock,NO,C
Mad Love,26-May-95,Drama,PG-13,Antonia Bird,NO,C
Armageddon,1-Jul-98,Adventure,PG-13,Michael Bay,NO,A
Air Bud,1-Aug-97,Comedy,PG,Charles Martin Smith,NO,C
Fire Birds,24-May-90,Action,PG-13,David Green,NO,C
The Black Cauldron,24-Jul-85,Adventure,PG,Ted Berman,Yes,C
Oz the Great and Powerful,8-Mar-13,Adventure,PG,Sam Raimi,NO,A
Two Much,15-Mar-96,Romantic Comedy,PG-13,Fernando Trueba,NO,D
102 Dalmatians,22-Nov-00,Comedy,G,Kevin Lima,NO,B
The Pacifier,4-Mar-05,Comedy,PG,Adam Shankman,NO,B
Prom,29-Apr-11,Comedy,PG,Paul Lynch,NO,D
Un indien dans la ville,22-Mar-96,Comedy,PG,Hervé Palud,NO,D
Annapolis,27-Jan-06,Drama,PG-13,Justin Lin,NO,C
The Country Bears,26-Jul-02,Adventure,G,Peter Hastings,NO,C
